id,domain,question,domain_guard_allowed,expected_keywords,matched_keywords,keyword_score,has_sources,should_have_sources,source_check_passed,passed,source_count,top_sources
1,medical,What is acne?,True,"skin, pores, oil, inflammation, pimples","skin, pores, oil, inflammation, pimples",1.0,True,True,True,True,5,Medical_book.pdf page 39.0 chunk 299.0 | Medical_book.pdf page 38.0 chunk 289.0 | Medical_book.pdf page 37.0 chunk 274.0 | Medical_book.pdf page 239.0 chunk 2180.0 | Medical_book.pdf page 40.0 chunk 302.0
2,medical,What are the symptoms of asthma?,True,"breathing, wheezing, cough, airways","breathing, airways",0.5,True,True,True,True,5,Medical_book.pdf page 393.0 chunk 3622.0 | Medical_book.pdf page 394.0 chunk 3627.0 | Medical_book.pdf page 392.0 chunk 3611.0 | Medical_book.pdf page 249.0 chunk 2275.0 | Medical_book.pdf page 393.0 chunk 3616.0
3,medical,What is diabetes?,True,"blood, sugar, glucose, insulin","blood, sugar, glucose, insulin",1.0,True,True,True,True,5,Medical_book.pdf page 542.0 chunk 4984.0 | Medical_book.pdf page 198.0 chunk 1783.0 | Medical_book.pdf page 541.0 chunk 4982.0 | Medical_book.pdf page 274.0 chunk 2504.0 | Medical_book.pdf page 277.0 chunk 2528.0
4,medical,What is gradient descent?,False,"outside, medical, domain","outside, medical, domain",1.0,False,False,True,True,0,
5,machine_learning,What is gradient descent?,True,"loss, gradient, parameters, learning rate","loss, gradient, parameters, learning rate",1.0,True,True,True,True,5,"Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow.pdf page 147.0 chunk 8629.0 | Deep Learning for Finance Creating Machine  Deep Learning Models for Trading in Python.pdf page 212.0 chunk 892.0 | Hands-On Machine Learning with Scikit-Learn and Pytorch Concepts, Tools, and Techniques to Build Intelligent Systems.pdf page 171.0 chunk 4537.0 | Deep Learning for Finance Creating Machine  Deep Learning Models for Trading in Python.pdf page 241.0 chunk 1009.0 | Hands-On Machine Learning with Scikit-Learn and Pytorch Concepts, Tools, and Techniques to Build Intelligent Systems.pdf page 174.0 chunk 4550.0"
6,machine_learning,What is overfitting?,True,"training, test, generalization, model","training, test, generalization, model",1.0,True,True,True,True,5,"Deep Learning for Finance Creating Machine  Deep Learning Models for Trading in Python.pdf page 226.0 chunk 951.0 | Hands-On Machine Learning with Scikit-Learn and Pytorch Concepts, Tools, and Techniques to Build Intelligent Systems.pdf page 63.0 chunk 4022.0 | Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow.pdf page 749.0 chunk 11489.0 | Hands-On Machine Learning with Scikit-Learn and Pytorch Concepts, Tools, and Techniques to Build Intelligent Systems.pdf page 120.0 chunk 4294.0 | Deep Learning for Finance Creating Machine  Deep Learning Models for Trading in Python.pdf page 228.0 chunk 958.0"
7,machine_learning,What is linear regression?,True,"linear, prediction, variable, regression","linear, variable, regression",0.75,True,True,True,True,5,Deep Learning for Finance Creating Machine  Deep Learning Models for Trading in Python.pdf page 94.0 chunk 472.0 | Deep Learning for Finance Creating Machine  Deep Learning Models for Trading in Python.pdf page 205.0 chunk 858.0 | Deep Learning for Finance Creating Machine  Deep Learning Models for Trading in Python.pdf page 92.0 chunk 464.0 | Deep Learning for Finance Creating Machine  Deep Learning Models for Trading in Python.pdf page 94.0 chunk 469.0 | Deep Learning for Finance Creating Machine  Deep Learning Models for Trading in Python.pdf page 207.0 chunk 869.0
8,machine_learning,What is acne?,False,"outside, machine learning, domain","outside, domain",0.67,False,False,True,True,0,
9,llm,What is retrieval augmented generation?,True,"retrieval, context, generation, documents","retrieval, context, generation",0.75,True,True,True,True,5,"Hands-On Large Language Models Language Understanding and Generation (Jay Alammar, Maarten Grootendorst).pdf page 348.0 chunk 5381.0 | Prompt Engineering for LLMs The Art and Science of Building Large Language Model-Based Applications (John Berryman, Albert Ziegler).pdf page 122.0 chunk 8773.0 | Building Applications with AI Agents Designing and Implementing Multiagent Systems.pdf page 142.0 chunk 3281.0 | Prompt Engineering for LLMs The Art and Science of Building Large Language Model-Based Applications (John Berryman, Albert Ziegler).pdf page 95.0 chunk 8657.0 | AI Engineering Building Applications with Foundation Models (Chip Huyen).pdf page 277.0 chunk 1329.0"
10,llm,What is prompting?,True,"prompt, instruction, model, response","prompt, instruction, response",0.75,True,True,True,True,5,"Hands-On Large Language Models Language Understanding and Generation (Jay Alammar, Maarten Grootendorst).pdf page 246.0 chunk 5091.0 | Prompt Engineering for LLMs The Art and Science of Building Large Language Model-Based Applications (John Berryman, Albert Ziegler).pdf page 147.0 chunk 8887.0 | Hands-On Large Language Models Language Understanding and Generation (Jay Alammar, Maarten Grootendorst).pdf page 246.0 chunk 5090.0 | Hands-On Large Language Models Language Understanding and Generation (Jay Alammar, Maarten Grootendorst).pdf page 249.0 chunk 5097.0 | Hands-On Large Language Models Language Understanding and Generation (Jay Alammar, Maarten Grootendorst).pdf page 244.0 chunk 5085.0"
